DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME,HELPER
10/11/2011,17,FLC,17,17.1,16.1,143300,2829
10/12/2011,16,FLC,17,17,15.6,134200,2828
10/13/2011,15.3,FLC,16,16.7,15,44700,2827
10/14/2011,14.8,FLC,15.3,15.5,14.8,79500,2826
10/17/2011,14,FLC,14.8,14.8,14,5000,2825
10/18/2011,13.1,FLC,14,14,13.1,6500,2824
10/19/2011,12.3,FLC,13.1,14,12.2,248800,2823
10/20/2011,12.8,FLC,12.3,12.8,11.5,50500,2822
10/21/2011,12.1,FLC,12.8,13,12.1,17200,2821
10/24/2011,12.2,FLC,12.1,12.7,12,43800,2820
10/25/2011,11.9,FLC,12.2,12.3,11.8,33700,2819
10/26/2011,11.7,FLC,11.9,11.9,11.7,11300,2818
10/27/2011,11.4,FLC,11.7,12,11.4,22500,2817
10/28/2011,12,FLC,11.4,12.7,11.1,169300,2816
10/31/2011,11.5,FLC,12,12.4,11.1,112300,2815
11/1/2011,11.1,FLC,11.5,11.9,11.1,61900,2814
11/2/2011,10.7,FLC,11.1,11.4,10.7,37200,2813
11/3/2011,10.1,FLC,10.7,10.7,10.1,39600,2812
11/4/2011,10.7,FLC,10.1,10.8,9.4,765400,2811
11/7/2011,11.2,FLC,10.7,11.2,10.7,231200,2810
11/8/2011,10.8,FLC,11.2,11.5,10.5,191600,2809
11/9/2011,10.8,FLC,10.8,11.2,10.5,385800,2808
11/10/2011,10.4,FLC,10.8,10.8,10.2,253500,2807
11/11/2011,10.7,FLC,10.4,11.3,10.3,377500,2806
11/14/2011,10.3,FLC,10.7,11,10.2,448400,2805
11/15/2011,10.6,FLC,10.3,10.9,10,317200,2804
11/16/2011,10.6,FLC,10.6,11,9.6,486700,2803
11/17/2011,10.6,FLC,10.6,11.1,10.5,448700,2802
11/18/2011,11,FLC,10.6,11.3,10.5,312600,2801
11/21/2011,11.3,FLC,11,11.3,10.6,232100,2800
11/22/2011,11.9,FLC,11.3,11.9,11.2,252600,2799
11/23/2011,12.6,FLC,11.9,12.6,11.9,151900,2798
11/24/2011,13.4,FLC,12.6,13.4,12.6,218300,2797
11/25/2011,14,FLC,13.4,14.3,13.4,442100,2796
11/28/2011,14.9,FLC,14,14.9,14,424400,2795
11/29/2011,15.8,FLC,14.9,15.8,14.9,543800,2794
11/30/2011,15.6,FLC,15.8,16.4,15.5,369700,2793
12/1/2011,14.7,FLC,15.6,16.2,14.7,291800,2792
12/2/2011,14.6,FLC,14.7,15.1,14.3,315200,2791
12/5/2011,14.9,FLC,14.6,15.5,14,227100,2790
12/6/2011,14.9,FLC,14.9,15.8,14.9,259000,2789
12/7/2011,14.3,FLC,14.9,14.9,14.3,279600,2788
12/8/2011,13.9,FLC,14.3,14.5,13.6,214500,2787
12/9/2011,14.3,FLC,13.9,14.3,13.5,296000,2786
12/12/2011,14.7,FLC,14.3,14.9,13.9,353800,2785
12/13/2011,15,FLC,14.7,15.3,14.4,439500,2784
12/14/2011,14.5,FLC,15,15.3,14.5,152200,2783
12/15/2011,14.4,FLC,14.5,14.8,14.2,257600,2782
12/16/2011,15.2,FLC,14.4,15.4,14,335400,2781
12/19/2011,15.8,FLC,15.2,15.8,14.5,538000,2780
12/20/2011,16.5,FLC,15.8,16.5,15.4,431500,2779
12/21/2011,17.3,FLC,16.5,17.3,16.5,308500,2778
12/22/2011,17.9,FLC,17.3,18.4,17.3,281800,2777
12/23/2011,17.2,FLC,17.9,17.9,16.8,356800,2776
12/26/2011,18.1,FLC,17.2,18.1,16.9,353200,2775
12/27/2011,18.9,FLC,18.1,19,18.1,283800,2774
12/28/2011,20.2,FLC,18.9,20.2,18.9,267600,2773
12/29/2011,20.3,FLC,20.2,21.4,18.8,238800,2772
12/30/2011,20.1,FLC,20.3,20.8,19,725800,2771
1/3/2012,21.4,FLC,20.1,21.7,19.5,202300,2770
1/4/2012,21.7,FLC,21.4,22.5,21.4,148200,2769
