<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
HBC,20230303,8.8500,8.8500,8.3600,8.3600,1079100
HBC,20230302,8.5000,8.6100,8.4500,8.4500,664800
HBC,20230301,8.1800,8.5000,8.0800,8.5000,1463800
HBC,20230228,8.2000,8.3700,8.1400,8.1700,1108000
HBC,20230227,8.4500,8.4500,8.1600,8.1600,1314200
HBC,20230224,8.7000,8.8000,8.5000,8.5000,866400
HBC,20230223,8.8000,8.8300,8.4500,8.6900,2051300
HBC,20230222,9.0300,9.1500,8.8000,8.8000,2565900
HBC,20230221,9.3000,9.3800,9.0600,9.1800,2655400
HBC,20230220,8.8000,9.2000,8.7500,9.1800,2778600
HBC,20230217,8.8000,8.9900,8.6500,8.7300,1683800
HBC,20230216,8.6900,8.7500,8.5600,8.7000,1674600
HBC,20230215,8.2500,8.6000,8.2100,8.5600,2968700
HBC,20230214,8.3800,8.3800,7.9400,8.0600,1546700
HBC,20230213,8.3800,8.6500,8.3800,8.3800,6357300
HBC,20230210,9.1700,9.2500,9.0000,9.0100,1565700
HBC,20230209,9.1000,9.4000,9.1000,9.2500,960500
HBC,20230208,9.3700,9.4800,8.9500,9.2000,2062100
HBC,20230207,9.7400,9.7400,9.2200,9.2800,2787400
HBC,20230206,9.6000,9.7100,9.2500,9.6600,1452700
HBC,20230203,9.4600,9.9800,9.4100,9.6300,2092400
HBC,20230202,9.9000,9.9800,9.4000,9.4700,3383600
HBC,20230201,10.6000,10.7500,9.8000,9.8900,4573200
HBC,20230131,10.2500,10.5000,10.1000,10.5000,3986900
HBC,20230130,10.4500,10.7000,10.2000,10.4500,5708200
HBC,20230127,9.7200,10.2000,9.5700,10.2000,4638100
HBC,20230119,9.6100,9.6800,9.4200,9.5500,2687700
HBC,20230118,9.8000,9.8000,9.5100,9.6100,3412800
HBC,20230117,8.7000,9.3000,8.7000,9.3000,4591900
HBC,20230116,8.9000,8.9800,8.6900,8.7000,1327800
HBC,20230113,9.0500,9.0500,8.8000,8.8300,1632800
HBC,20230112,9.1000,9.1000,8.8100,8.8700,1604600
HBC,20230111,9.0600,9.1900,8.9400,8.9400,2142500
HBC,20230110,8.7900,9.0500,8.6100,8.9900,2709700
HBC,20230109,8.5000,8.9900,8.4500,8.6500,2604300
HBC,20230106,9.1600,9.2000,8.6400,8.6500,6310800
HBC,20230105,9.6500,9.6500,9.2000,9.2300,3094300
HBC,20230104,9.5900,9.9800,9.4500,9.6100,2883300
HBC,20230103,8.5700,9.5000,8.5700,9.4500,7187700
HBC,20221230,9.3800,9.3800,9.1700,9.2100,1539500
HBC,20221229,9.3300,9.5600,9.2300,9.2300,1539700
HBC,20221228,9.5800,9.5800,9.3300,9.3300,1414100
HBC,20221227,8.9400,9.5000,8.6000,9.5000,1547800
HBC,20221226,9.6100,9.8700,8.9400,8.9400,2616700
HBC,20221223,9.5000,9.7100,9.4700,9.6100,1666400
HBC,20221222,9.4300,9.7000,9.2500,9.5000,1587800
HBC,20221221,10.0000,10.0000,9.1300,9.4100,2900600
HBC,20221220,10.3500,10.5000,9.6800,9.8000,5738800
HBC,20221219,10.6000,11.1000,10.4000,10.4000,5153200
HBC,20221216,10.6000,11.3000,10.4500,10.9000,4183000
HBC,20221215,11.0000,11.2000,10.7000,10.7500,3619800
HBC,20221214,11.6500,11.9000,11.0500,11.0500,5836900
HBC,20221213,10.7000,11.5000,10.4500,11.5000,6739800
HBC,20221212,11.2500,11.2500,10.8000,11.2000,7835800
HBC,20221209,10.0000,10.5500,9.8500,10.5500,5502300
HBC,20221208,9.6000,10.0500,9.5600,9.8900,2336700
HBC,20221207,9.4500,10.0000,9.4500,9.4500,4003100
HBC,20221206,10.4500,10.8500,10.1500,10.1500,7146400
HBC,20221205,11.1000,11.1000,10.5500,10.9000,5357900
HBC,20221202,9.8000,10.6500,9.5500,10.6500,6128600
HBC,20221201,9.5600,10.0500,9.5600,10.0000,7689700
HBC,20221130,9.0800,9.5500,8.8800,9.4200,4034100
HBC,20221129,9.0500,9.0500,8.5000,9.0200,7748700
HBC,20221128,8.4000,8.4600,8.3000,8.4600,2294500
HBC,20221125,7.4700,7.9100,7.4700,7.9100,2172100
HBC,20221124,7.4000,7.5200,7.0000,7.4000,1786900
HBC,20221123,7.8500,8.1500,7.4400,7.4400,2086800
HBC,20221122,8.0000,8.6400,7.8000,7.9900,4490500
HBC,20221121,8.0000,8.1200,7.7000,8.0900,2495800
HBC,20221118,7.6000,8.0000,7.0700,7.7000,5218700
HBC,20221117,7.4800,7.7200,7.4000,7.6000,2740300
HBC,20221116,6.2800,7.2200,6.2800,7.2200,8653200
HBC,20221115,6.7500,6.7500,6.7500,6.7500,497300
HBC,20221114,7.2500,7.4900,7.2500,7.2500,1794800
HBC,20221111,8.3700,8.4800,7.7900,7.7900,3744500
HBC,20221110,8.5100,8.7100,8.3700,8.3700,2396500
HBC,20221109,9.1400,9.3500,9.0000,9.0000,2129800
HBC,20221108,9.0400,9.3400,9.0400,9.0400,4278300
HBC,20221107,10.3000,10.4500,9.7200,9.7200,1688300
HBC,20221104,10.8000,11.2000,10.4500,10.4500,3009900
HBC,20221103,10.3000,11.2000,10.3000,11.2000,3692300
HBC,20221102,10.7000,10.8500,10.5000,10.5000,1619900
HBC,20221101,10.4000,10.5500,10.2500,10.4500,1563700
HBC,20221031,10.8500,10.8500,10.0000,10.1000,1947100
HBC,20221028,11.0000,11.2500,10.7000,10.7500,2155000
HBC,20221027,10.0000,10.7500,9.8000,10.7500,3136700
HBC,20221026,10.5000,11.3000,10.0500,10.0500,2787100
HBC,20221025,11.2500,11.9500,10.7500,10.8000,3128100
HBC,20221024,12.4500,12.6000,11.5500,11.5500,2043000
HBC,20221021,13.4500,13.4500,12.4000,12.4000,3022900
HBC,20221020,13.4000,13.5500,13.2000,13.3000,856400
HBC,20221019,13.8500,13.9000,13.4000,13.5000,942100
HBC,20221018,13.9000,14.1000,13.6500,13.7000,2040900
HBC,20221017,13.1000,13.5000,13.0500,13.5000,1617600
HBC,20221014,13.4500,13.7000,13.2000,13.3500,2378100
HBC,20221013,13.2000,13.5000,12.9500,13.0000,1510600
HBC,20221012,12.5000,13.2500,12.5000,12.9500,2113900
HBC,20221011,13.6000,13.6500,12.7000,12.7000,3315300
HBC,20221010,12.8500,13.8000,12.8000,13.6500,2321100
HBC,20221007,13.8000,13.9000,13.2500,13.2500,3961300
HBC,20221006,15.1000,15.2000,14.2000,14.2000,1865600
HBC,20221005,14.8000,15.3000,14.7500,15.1000,3055500
HBC,20221004,15.5000,15.8000,14.4500,14.4500,3367100
HBC,20221003,16.4000,16.5000,15.2500,15.2500,2458800
HBC,20220930,16.5500,16.7500,15.8500,16.3500,3956600
HBC,20220929,18.2500,18.3000,16.9000,17.0000,6853900
HBC,20220928,19.3000,19.5000,18.1500,18.1500,8435900
HBC,20220927,19.4000,19.9500,19.2500,19.5000,5083900
HBC,20220926,19.4500,19.8500,18.8500,19.3000,5605100
HBC,20220923,18.8500,19.8000,18.7500,19.7000,7293300
HBC,20220922,18.4000,18.8500,18.3000,18.8000,2591000
HBC,20220921,18.6500,19.1000,18.4000,18.6000,2110900
HBC,20220920,18.6000,18.8500,18.1500,18.6500,1979900
HBC,20220919,18.8000,19.3000,18.0000,18.5500,4299900
HBC,20220916,19.1000,19.3000,18.8000,18.8000,2238000
HBC,20220915,19.5000,19.7000,19.3000,19.3000,2256300
HBC,20220914,18.9000,19.7000,18.5000,19.2500,3401900
HBC,20220913,19.0500,19.2000,18.5500,19.2000,2331300
HBC,20220912,19.1000,19.5000,19.0000,19.1000,1544800
HBC,20220909,19.2000,19.2000,18.0000,19.0000,4454000
HBC,20220908,19.7000,19.7000,18.8000,19.0000,4328900
HBC,20220907,19.8500,20.4000,19.5500,19.5500,4927200
HBC,20220906,19.3500,20.2000,19.3000,19.8500,4582200
HBC,20220905,19.5000,19.7500,19.4000,19.4000,1454700
HBC,20220831,19.2000,19.6500,19.1000,19.5000,2497700
HBC,20220830,19.7000,19.9000,19.2000,19.2000,2229600
HBC,20220829,19.4500,19.9000,19.0500,19.5000,5177700
HBC,20220826,20.4000,20.5500,19.9500,20.0000,4974300
HBC,20220825,20.3500,20.6500,20.3000,20.3500,2771500
HBC,20220824,20.4000,20.6000,20.2000,20.3000,3178500
HBC,20220823,20.7000,21.7000,20.6500,21.6500,4585100
HBC,20220822,21.2000,21.4500,20.9000,21.0000,5098100
HBC,20220819,21.7000,21.9000,21.2000,21.4500,4888900
HBC,20220818,22.0000,22.1000,21.5000,21.5000,4242300
HBC,20220817,22.3500,22.5000,21.7500,22.0000,6114000
HBC,20220816,21.7000,22.6000,21.6000,22.3500,6956100
HBC,20220815,21.9500,22.1000,21.5500,21.6000,4934700
HBC,20220812,21.4500,21.8000,21.1000,21.8000,5442700
HBC,20220811,22.5000,22.5000,21.0500,21.4500,9015100
HBC,20220810,21.4000,22.4000,21.3500,22.1000,6680000
HBC,20220809,21.3500,21.9000,21.2000,21.5500,6523300
HBC,20220808,21.5500,21.5500,21.0000,21.2500,3910200
HBC,20220805,21.2000,21.5000,20.9500,21.3500,4144700
HBC,20220804,21.7000,21.9000,21.2000,21.2000,7038600
HBC,20220803,21.0000,21.4500,20.8500,21.3000,4653800
HBC,20220802,21.4000,21.7000,21.0500,21.1500,6471400
HBC,20220801,20.3500,21.5000,20.3500,21.4000,9391100
HBC,20220729,20.6000,20.8000,20.3000,20.3500,4904200
HBC,20220728,20.9000,21.3500,20.5500,20.5500,7105000
HBC,20220727,20.2000,20.7000,20.0000,20.5500,3554100
HBC,20220726,20.3500,21.2500,20.3500,20.4000,5090400
HBC,20220725,19.9000,20.7000,19.9000,20.4000,5215100
HBC,20220722,20.3000,20.6500,19.8000,19.8000,3754000
HBC,20220721,20.9500,20.9500,20.3000,20.3000,4793700
HBC,20220720,20.0000,20.9500,19.9000,20.9500,12271800
HBC,20220719,19.6500,19.8000,19.2000,19.6000,2723800
HBC,20220718,19.5500,20.3500,19.3500,19.6000,7600000
HBC,20220715,19.7000,20.2000,19.4500,19.4500,6014800
HBC,20220714,19.1500,19.7000,19.1000,19.5000,3180700
HBC,20220713,19.8000,20.1500,19.2000,19.3000,6433200
HBC,20220712,19.3500,19.9000,19.1000,19.8000,5846400
HBC,20220711,18.9500,19.7500,18.7500,19.4000,4310100
HBC,20220708,19.2000,19.8000,19.0000,19.3000,3872300
HBC,20220707,17.8000,18.9000,17.8000,18.9000,6311800
HBC,20220706,17.4000,17.9500,17.2000,17.7000,4090000
HBC,20220705,18.0500,18.3000,17.7000,17.7000,2826700
HBC,20220704,18.0500,18.4000,17.9500,18.0500,2792700
HBC,20220701,16.7500,17.8000,16.4000,17.8000,4932600
HBC,20220630,17.5000,17.8500,16.6000,16.6500,3012700
HBC,20220629,17.8000,18.1000,17.4000,17.5000,5039700
HBC,20220628,17.9000,18.4500,17.9000,18.1000,2822900
HBC,20220627,17.7000,18.1500,17.5000,17.9000,2577900
HBC,20220624,17.4000,18.2000,17.1000,17.3500,6467400
HBC,20220623,17.3500,17.4500,17.0500,17.4500,2597400
HBC,20220622,17.2000,17.5000,17.1000,17.2000,3431900
HBC,20220621,15.6500,16.5000,15.3000,16.5000,6570600
HBC,20220620,16.8000,17.2000,15.4500,15.4500,5226100
HBC,20220617,16.3000,16.7000,16.0500,16.6000,5552300
HBC,20220616,17.9000,18.0000,17.1000,17.2500,2920000
HBC,20220615,18.6000,19.1000,17.3000,17.3000,6597400
HBC,20220614,19.0000,19.5000,18.5000,18.6000,4083500
HBC,20220613,19.5000,20.1500,19.1000,19.1000,6539900
HBC,20220610,21.5000,21.7500,20.5000,20.5000,5806400
HBC,20220609,21.6000,22.1500,21.6000,21.8000,2472600
HBC,20220608,21.3000,21.9500,21.0000,21.7500,4367000
HBC,20220607,21.2000,21.6500,20.2000,20.9000,8819600
HBC,20220606,23.2500,23.6500,21.6500,21.6500,7033600
HBC,20220603,22.7000,23.8000,22.5000,23.2500,6882000
HBC,20220602,22.2000,22.9000,21.9000,22.8000,7109000
HBC,20220601,22.3000,22.4500,21.6000,21.9500,3545000
HBC,20220531,21.7000,22.8500,21.5500,22.1500,7374500
HBC,20220530,21.9000,22.6000,21.5500,21.8500,4529900
HBC,20220527,21.5000,22.2500,21.3500,21.8000,4768300
HBC,20220526,21.6500,22.4000,21.5500,21.6000,4413800
HBC,20220525,21.8000,22.4000,21.5000,21.7500,6019200
HBC,20220524,19.9000,21.1500,19.3000,21.1500,5289600
HBC,20220523,20.9500,21.1500,19.5500,19.8000,4056900
HBC,20220520,21.0000,21.5000,20.5500,20.7000,4687000
HBC,20220519,20.0000,20.9000,19.6000,20.8500,4301900
HBC,20220518,20.1000,20.5500,19.8000,20.1000,4984800
HBC,20220517,18.0500,19.2500,18.0000,19.2500,3680700
HBC,20220516,19.0000,19.4000,18.0000,18.0000,2842300
HBC,20220513,19.6500,19.7000,18.3500,18.3500,4578300
HBC,20220512,20.6000,20.9000,19.7000,19.7000,3178000
HBC,20220511,20.8500,21.2500,20.4000,21.1500,2598300
HBC,20220510,18.3000,20.6000,18.3000,20.6000,4551700
HBC,20220509,20.2000,20.5000,19.4000,19.4000,4906100
HBC,20220506,20.7000,21.8500,20.7000,20.8500,3461000
HBC,20220505,22.8000,22.9500,21.2500,21.7500,6270700
HBC,20220504,21.4500,23.1000,21.1000,22.8000,5853500
HBC,20220429,20.9000,21.7000,20.7000,21.6000,5192800
HBC,20220428,21.2500,22.0500,21.0000,21.2000,9376500
HBC,20220427,19.9000,20.6500,19.6500,20.6500,3566700
HBC,20220426,18.1000,19.3000,17.8000,19.3000,6731400
HBC,20220425,20.0000,20.0000,18.0000,18.0500,5092800
HBC,20220422,19.3000,20.0000,17.6000,19.2000,4904100
HBC,20220421,19.1000,20.1000,18.7500,18.7500,8171800
HBC,20220420,21.1000,21.4500,20.1500,20.1500,7206800
HBC,20220419,23.0500,23.5500,21.6500,21.6500,7374900
